Date,Ticker,Post_Title,Scenario,Entry,Stop_Loss,Targets,R_R_Ratio,Est_Probability,Link,Current_Price,Price_Updated,Status
⚠️ DISCLAIMER,EXPERIMENTAL DATA ONLY,Accuracy NOT guaranteed • NOT financial advice • Use at your own risk,See README for full details,,,,,,https://github.com/shaneshipman7/wild-swing-playbook,,Data updated every 45 min,
2026-06-19,AAPL,"AAPL Pullback Analysis: Neutral RSI Signals Cautious Swing Setup on June 15, 2026",Final Execution Plan,$290.6,$284.38,$300.52 / $313.7,,45%,https://github.com/shaneshipman7/wild-swing-playbook,$297.89,2026-06-22 04:43,TRACKING
2026-06-21,ACHV,ACHV Swing Trade Setup: Post-Breakdown Reversal Opportunity or Wait-and-See?,Final Execution Plan,$5.0,$4.7,$5.45 / $6.08,,55%,https://github.com/shaneshipman7/wild-swing-playbook,$4.82,2026-06-22 04:43,TRACKING
2026-06-14,AMD,AMD — Trading Playbook,Fib Golden Pocket,$418.06,$383.16,$467.08 / $546.44,1:1.4,,https://github.com/shaneshipman7/wild-swing-playbook,$536.83,2026-06-22 04:43,TRACKING
2026-06-15,APLD,APLD — Trading Playbook,Final Execution Plan,$39.16,$36.02,$43.58 / $50.72,,,https://github.com/shaneshipman7/wild-swing-playbook,$46.55,2026-06-22 04:43,TRACKING
2026-06-21,ARQT,ARQT — Trading Playbook,Fib Golden Pocket,$22.24,$20.94,$24.06 / $27,1:1.41,,https://github.com/shaneshipman7/wild-swing-playbook,$26.18,2026-06-22 04:43,TRACKING
2026-06-14,ASTS,ASTS — Satellite momentum continuation,Fib Golden Pocket,$91.25,$79.67,$107.52 / $133.86,1:1.4,,https://github.com/shaneshipman7/wild-swing-playbook,$80.67,2026-06-22 04:43,TRACKING
2026-06-19,ATXI,ATXI — Weak swing playbook,Final Execution Plan,$0.35,$0.29,$0.42 / $0.55,,,https://github.com/shaneshipman7/wild-swing-playbook,,2026-06-22 04:43,TRACKING
2026-06-19,AXTI,AXTI — Trading Playbook,Fib Golden Pocket,$101.66,$90.37,$117.5 / $143.16,1:1.4,,https://github.com/shaneshipman7/wild-swing-playbook,$84.51,2026-06-22 04:43,TRACKING
2026-06-18,BBAI,BBAI — Trading Playbook,Fib Golden Pocket,$4.4,$4.12,$4.81 / $5.46,1:1.43,,https://github.com/shaneshipman7/wild-swing-playbook,$3.91,2026-06-22 04:43,FAILED
