Date,Ticker,Post_Title,Scenario,Entry,Stop_Loss,Targets,R_R_Ratio,Est_Probability,Link,Current_Price,Price_Updated,Status
⚠️ DISCLAIMER,EXPERIMENTAL DATA ONLY,Accuracy NOT guaranteed • NOT financial advice • Use at your own risk,See README for full details,,,,,,https://github.com/shaneshipman7/wild-swing-playbook,,Data updated every 45 min,
2026-06-01,NVDA,NVDA Update June 1st.,Bullish Pullback BuyPRIMARY,$208 – $212,Below $200 (-5% to -6%),$230 (T1)$245–$255 (T2),1:2.0+,~60–70%,https://wildswingtrades.blogspot.com/2026/06/nvda-update-june-1st.html,214.75,2026-06-03 18:15,TRACKING
2026-06-01,NVDA,NVDA Update June 1st.,Breakout ContinuationAGGRESSIVE,Above $222 – $225 on strong volume,$210 – $212 zone,$240 (T1)$260+ (T2),1:2.3+,~55–65%,https://wildswingtrades.blogspot.com/2026/06/nvda-update-june-1st.html,214.75,2026-06-03 18:15,TRACKING
2026-06-01,NVDA,NVDA Update June 1st.,Range-Bound Swing,$210 – $220,Below $200,$230 – $235,1:1.8,~50–60%,https://wildswingtrades.blogspot.com/2026/06/nvda-update-june-1st.html,214.75,2026-06-03 18:15,TRACKING
2026-06-01,AMD,AMD,Bullish Pullback BuyPRIMARY,$142 – $146,Below $135 (-7%),$165 (T1)$180 (T2),1:2.0+,\~58–68%,https://wildswingtrades.blogspot.com/2026/05/amd.html,542.52,2026-06-03 18:15,TRACKING
2026-06-01,AMD,AMD,Breakout ContinuationAGGRESSIVE,Above $155 on strong volume,$142 – $145 zone,$170 (T1)$190+ (T2),1:2.3+,\~55–65%,https://wildswingtrades.blogspot.com/2026/05/amd.html,542.52,2026-06-03 18:15,TRACKING
2026-06-01,AMD,AMD,Range-Bound Swing,$144 – $152,Below $138,$160 – $165,1:1.8,\~52–62%,https://wildswingtrades.blogspot.com/2026/05/amd.html,542.52,2026-06-03 18:15,TRACKING
2026-06-01,NVDA,NVDA,Bullish Pullback BuyPRIMARY,"$1,320 – $1,350","Below $1,280 (-6%)","$1,500 (T1)$1,650 (T2)",1:2.0+,\~60–70%,https://wildswingtrades.blogspot.com/2026/05/nvda.html,214.75,2026-06-03 18:15,TRACKING
2026-06-01,NVDA,NVDA,Breakout ContinuationAGGRESSIVE,"Above $1,430 on strong volume","$1,340 – $1,360 zone","$1,550 (T1)$1,700+ (T2)",1:2.5+,\~55–65%,https://wildswingtrades.blogspot.com/2026/05/nvda.html,214.75,2026-06-03 18:15,TRACKING
2026-06-01,NVDA,NVDA,Range-Bound Swing,"$1,340 – $1,400","Below $1,280","$1,480 – $1,520",1:1.8,\~50–60%,https://wildswingtrades.blogspot.com/2026/05/nvda.html,214.75,2026-06-03 18:15,TRACKING
2026-06-01,PLTR,PLTR,Bullish Pullback BuyPRIMARY,$72 – $75,Below $68 (-8%),$88 (T1)$95–$100 (T2),1:2.0+,\~58–68%,https://wildswingtrades.blogspot.com/2026/05/pltr.html,142.2,2026-06-03 18:15,TRACKING
